timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,space_press
15617979,0.9996719,-0.0042713843,0.0013915288,0.025218194,0.0,0.0,0.0,0.0,0.0,0.0,0
15634646,0.99967974,-0.004643317,0.000771251,0.024865715,0.03983548,-0.17640306,9.480752,1.0622292,-0.48831895,0.0054619084,0
15651313,0.9996942,-0.005442078,-7.873857e-06,0.024124281,-0.054920454,-0.17677553,9.429448,1.1571113,-0.43947554,0.018537192,0
15667980,0.99970007,-0.006216276,-1.0210705e-05,0.023689047,-0.11544865,-0.16672674,9.47273,1.0392545,-0.3890953,-0.013958921,0
15684647,0.999702,-0.006715647,0.000512274,0.023462089,-0.11338222,-0.13560101,9.432052,1.0767002,-0.31629124,-0.09239781,0
15701314,0.99970347,-0.0069189295,0.001098069,0.023329953,-0.08997044,-0.09212341,9.472115,1.0168049,-0.22932328,-0.14994955,0
15717981,0.9997046,-0.006855897,0.0015461115,0.02327091,-0.049079098,-0.04560882,9.41184,1.0520736,-0.31360188,0.022507159,0
15734648,0.9997042,-0.0065967864,0.0018145667,0.023343937,-0.024698304,0.0043926244,9.478925,1.0646878,-0.3265491,-0.048920255,0
15751315,0.99970615,-0.0061884816,0.0019488292,0.023356799,-0.020574827,0.005924045,9.433159,1.0918117,-0.3082232,-0.12906238,0
15767982,0.99971,-0.0057307016,0.0019955225,0.023307068,-0.051739376,-0.07074143,9.448207,1.0887253,-0.35112444,-0.20537542,0
15784649,0.9997125,-0.0053464477,0.0020136114,0.023286762,-0.0747677,-0.16854523,9.440009,1.0235667,-0.4062046,-0.19889542,0
15801316,0.99971414,-0.0050732708,0.0020625764,0.023273772,-0.091139995,-0.2390318,9.450331,1.1005201,-0.20730922,-0.060202654,0
15817983,0.9997149,-0.004935261,0.0021044083,0.023269057,-0.08474907,-0.23415709,9.446566,0.9965325,-0.30473992,-0.007069105,0
15834650,0.99971515,-0.004860897,0.0021372219,0.023273952,-0.053322155,-0.16567582,9.459211,1.0504856,-0.3593077,0.022404708,0
15851317,0.99971616,-0.004800662,0.002164052,0.023241438,-0.027981158,-0.10059409,9.445449,1.0456578,-0.28979492,-0.08914501,0
15867984,0.9997171,-0.004711235,0.0021613059,0.02321361,-0.00705704,-0.052520446,9.476751,1.123469,-0.3508171,-0.103961945,0
15884651,0.9997176,-0.004598816,0.0021373392,0.023221165,-0.030609492,-0.062836796,9.4545965,1.0831289,-0.34837112,-0.0086827045,0
15901318,0.9997177,-0.0044565722,0.0021106943,0.023244869,-0.079461604,-0.070759684,9.442358,1.1747713,-0.31324333,0.03138196,0
15917985,0.9997186,-0.004322098,0.002086015,0.02323718,-0.10147981,-0.0848192,9.442503,1.0575676,-0.34477258,0.020342888,0
15934652,0.9997189,-0.0041766306,0.0020729895,0.023250118,-0.11773559,-0.11740802,9.463786,1.11494,-0.3322608,0.0044886256,0
15951319,0.9997196,-0.0040479098,0.0020587088,0.023239871,-0.072098754,-0.1471516,9.4626665,1.0327617,-0.40812552,-0.058793947,0
15967986,0.99971956,-0.003919574,0.0020702374,0.023266131,-0.009489152,-0.15916191,9.449095,1.0991623,-0.22181877,-0.012204451,0
15984653,0.9997208,-0.0037958012,0.0020646467,0.023232829,-0.0016834254,-0.16235931,9.461743,1.1279128,-0.25981522,-0.028532546,0
16001320,0.9997208,-0.0036827885,0.0020318048,0.023253761,-0.032181673,-0.1250969,9.45161,1.1025562,-0.37321544,-0.0011525714,0
16017987,0.9997218,-0.0035758133,0.0019967025,0.023230247,-0.06436086,-0.095958546,9.450248,1.0650849,-0.36233008,-0.015700584,0
16034654,0.9997223,-0.0034653107,0.00196096,0.02322783,-0.12044841,-0.056503367,9.45247,1.0681584,-0.3737405,-0.07754245,0
16051321,0.99972284,-0.0033606438,0.0019354239,0.023220897,-0.11103055,-0.06731093,9.449132,0.9808063,-0.35345525,-0.093243025,0
16067988,0.9997226,-0.003240286,0.0019186486,0.023252347,-0.072222136,-0.08510532,9.45686,1.0595269,-0.32889268,-0.012204451,0
16084655,0.99972415,-0.0031140095,0.0019102528,0.023204237,-0.023954736,-0.10355129,9.457234,1.088226,-0.27333874,-0.050495442,0
16101322,0.9997244,-0.0029934202,0.0018924923,0.023209054,-0.01365767,-0.14104469,9.458612,1.0504856,-0.30431733,-0.04085226,0
16117989,0.9997253,-0.0028736945,0.0018600347,0.023189485,-0.025429746,-0.16087703,9.4479475,1.0664551,-0.37315142,-0.06570937,0
16134656,0.9997254,-0.0027546424,0.0018324475,0.02319773,-0.05752983,-0.16344337,9.470834,1.0941681,-0.31913418,0.01506667,0
16151323,0.999726,-0.0026372,0.0018046213,0.023193952,-0.090815336,-0.1286051,9.445456,1.1107779,-0.3200307,-0.017595923,0
16167990,0.9997263,-0.0025333287,0.0017864874,0.02319237,-0.08155255,-0.11451421,9.458661,1.0256413,-0.26690993,-0.0022795305,0
16184657,0.9997273,-0.0024037038,0.0017749916,0.023164658,-0.04509945,-0.083318464,9.441638,1.203163,-0.23417693,-0.10296306,0
16201324,0.9997281,-0.0022820013,0.0017500741,0.023142101,-0.03684051,-0.058748566,9.429647,1.1327024,-0.31694433,-0.076236196,0
16217991,0.9997283,-0.0021736275,0.0017150538,0.02314568,-0.035149522,-0.05066654,9.464704,1.0181496,-0.37381738,0.010597255,0
16234658,0.9997285,-0.0020492338,0.0016854814,0.02315494,-0.06617271,-0.09858967,9.45356,1.1082423,-0.32905915,-0.029083218,0
16251325,0.99972945,-0.0019266481,0.0016543794,0.023123195,-0.09604669,-0.12267604,9.454739,1.0947957,-0.3423137,-0.12870382,0
16267992,0.9997295,-0.0018065291,0.0016283469,0.02313299,-0.098550476,-0.15399565,9.464793,1.0870222,-0.31954405,-0.09130927,0
16284659,0.9997293,-0.001691566,0.0016167462,0.023153398,-0.07927241,-0.16819605,9.455436,1.0714498,-0.23139793,-0.083074786,0
16301326,0.9997299,-0.0015791402,0.0015880574,0.02313327,-0.041039627,-0.13623805,9.435595,1.0705148,-0.35349363,0.013517101,0
16317993,0.9997303,-0.0014756616,0.001561543,0.02312597,-0.03094119,-0.118786134,9.463445,1.0180472,-0.32948175,-0.041223638,0
