timestamp,q_w,q_x,q_y,q_z,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
370956513,0.89508355,0.010895385,-0.007542715,0.44570154,0.0,0.0,0.0,0.0,0.0,0.0
370973180,0.89537483,0.010392362,-0.00733476,0.44513175,-0.019753262,-0.029883655,9.070403,1.3390255,-1.5661398,2.0427215
370989847,0.8955198,0.008581106,-0.0055718073,0.44490412,-0.14824323,-0.0018160902,9.207982,4.4224877,0.65601176,2.7214842
371006514,0.8955695,0.006741475,-0.0030100353,0.44486052,-0.38124907,0.14111404,9.579628,5.2535048,-0.27404314,3.4794154
371023181,0.8957162,0.005297396,0.0005599721,0.44459438,-0.57967544,0.27782166,9.8947735,3.9514825,0.3809057,2.8900926
371039848,0.89589363,0.004146458,0.004361806,0.4442279,-0.6579769,0.28235844,9.895464,1.097869,-0.14195839,1.7553599
371056515,0.8962739,0.0030029796,0.007948805,0.44341964,-0.5923928,0.22411352,9.777778,-0.83960986,0.81372184,-0.34008542
371073182,0.89674044,0.0018977907,0.010977446,0.44241673,-0.5563011,0.12186898,9.611065,-1.5650767,1.8182262,-1.4150504
371089849,0.89716035,0.00092380866,0.013278171,0.44150472,-0.5060594,-0.0020394954,9.427238,-1.3487264,1.0930283,-1.7740123
371106516,0.89749205,0.00019962736,0.014984326,0.440776,-0.35760012,-0.0385783,9.294426,0.2204165,0.19585392,-0.9925818
371123183,0.8977721,-0.00025684625,0.016171262,0.44016343,-0.30146912,-0.039281797,9.323138,1.4685171,-0.35919252,-0.5313611
371139850,0.8980233,-0.00048043887,0.016971592,0.43962038,-0.2787774,-0.03389854,9.382783,2.3468215,-0.8224751,0.07500039
371156517,0.898168,-0.0004102104,0.017085614,0.4393203,-0.14532791,0.055568505,9.499298,2.3781714,-4.067156,1.3787508
371173184,0.8982208,-0.0001832141,0.016681569,0.43922797,-0.26275444,0.07289894,9.491346,1.6078436,-5.976596,2.5175555
371189851,0.89830464,5.0852897e-05,0.01631949,0.4390703,-0.2488011,0.052419238,9.470166,1.6083688,-4.9547772,1.8908129
371206518,0.89842963,0.00033090424,0.01584124,0.43883166,-0.2778249,0.04252251,9.473391,1.4559476,-5.2493615,1.5982262
371223185,0.89860487,0.0005248806,0.01544168,0.43848702,-0.33459187,0.043236442,9.5080595,1.1255693,-4.199497,0.66799843
371239852,0.89887774,0.00047495784,0.015422854,0.43792793,-0.2114745,0.031363387,9.400381,0.7567081,-1.0343176,-1.6948053
